Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Jack of all trades and master of knowledge: The role of diversity in new distant knowledge integration,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103455068&doi=10.5465%2fAMBPP.2019.207&partnerID=40&md5=9866fecffd968321023c51c57bfd83e9,[No abstract available],,
The nonprofit starvation cycle: Impact of underfed overhead on program outcomes,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103436987&doi=10.5465%2fAMBPP.2019.217&partnerID=40&md5=d318d7397ac6c2923db544cdd203b246,[No abstract available],,
Outcomes of bridging roles in MNCS and moderating influence of cultural identity integration,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103454426&doi=10.5465%2fAMBPP.2019.15&partnerID=40&md5=9482ceca43fe7c05e92431ba89d465b2,"Today, multinational companies (MNCs) increasingly recognize the important role of individuals who internalize and identify with multiple cultures and languages (Brannen & Thomas, 2010; Fitzsimmons, Liao, & Thomas, 2017). As expatriates, inpatriates, or nonnative locals, these individuals often become bridge individuals, or individuals who have specific cultural and language skills and who act in bridging roles between different cultural and/or language groups in MNCs (Harzing, Köster, & Magner, 2011, Sekiguchi, 2016). Because of their multidimensional activities, bridge individuals are seen as knowledge-transferring nodes, gatekeepers, conduits for resource acquisition, and influence agents (Aldrich & Herker, 1977; Ancona & Caldwell, 1992). © 2019 AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management. All rights reserved.",,Cultural identity; Multi-national companies; Resource acquisition
Getting stuck on the corporate ladder: The effect of disability on career progress,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103453691&doi=10.5465%2fAMBPP.2019.195&partnerID=40&md5=46309f082b5c3b0a12c80110fbb0487a,[No abstract available],,
A behavioral perspective on the co-evolutionary dynamics of trust and governance in alliances,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103453692&doi=10.5465%2fAMBPP.2019.259&partnerID=40&md5=0057308b10b19cc4f03a18eda8e67da9,"We propose a simulation model to explore the continuous dynamics of formal governance adaptations and trust in alliances. Surprisingly, the optimal reaction to negative performance signals is a strong formal governance enhancement, combined with a shift towards more balanced adjustments, pointing to the importance of adaptive capacities in strategic alliances. © 2019 AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management. All rights reserved.",,Adaptive capacity; Co-evolutionary; Continuous dynamics; Performance signals; Simulation model; Strategic alliance
When an industry peer is accused of misconduct: Contagion vs. competition effects on blameless firms,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103437152&doi=10.5465%2fAMBPP.2019.218&partnerID=40&md5=017dcc4be7ad8254645fc8532dbd68f3,[No abstract available],,
How does family owner authority influence firm efficiency? An issue of national power distance,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103435640&doi=10.5465%2fAMBPP.2019.69&partnerID=40&md5=3d2e1ca1e4613ff3d870b29844f7f287,[No abstract available],,
Opening up the black box: A contingent dual process model of ambidexterity emergence,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101536617&doi=10.5465%2fAMBPP.2019.203&partnerID=40&md5=6b8863090696ef88c1e92e21f03052b7,[No abstract available],,
Short selling and performance on corporate social responsibility: Evidence from a natural experiment,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103457261&doi=10.5465%2fAMBPP.2019.5&partnerID=40&md5=02f408ba668384a7587a6a19f26ab99b,[No abstract available],,
Perfectionism and burnout in Taiwanese R&D teams,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103442978&doi=10.5465%2fAMBPP.2019.174&partnerID=40&md5=86de61079d94b418e7d8443555383db3,[No abstract available],,
An examination of the prevalence and consequences of identity disclosures among job seekers,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103442616&doi=10.5465%2fAMBPP.2019.133&partnerID=40&md5=2b68ad98ff0f9def908c615f156cc3b2,[No abstract available],,
Entrepreneurship discourse as a tool to gain legitimacy: The case of uber and OLA in India,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102578047&doi=10.5465%2fAMBPP.2019.219&partnerID=40&md5=91b068c10d7e08d64efd39989ad26c2e,[No abstract available],,
Gender effects on perceived professional mastery: Evidence from stem teachers∗,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103442297&doi=10.5465%2fAMBPP.2019.93&partnerID=40&md5=489d6824e7222b200c5595173608b603,[No abstract available],,
The impact of women directors on corporate social performance: An informal institutions perspective,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103441640&doi=10.5465%2fAMBPP.2019.80&partnerID=40&md5=43b0371df5670ad9235f5c0f039e16e8,[No abstract available],,
Don't let a lucky streak define your international business: The impact of prior success on risk-taking in foreign direct investment,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103449245&doi=10.5465%2fAMBPP.2019.123&partnerID=40&md5=6a7ef28de549c2a8090c3955ac59cd6d,[No abstract available],,
The complementarity of health information and health it for reducing opioid-related mortality and morbidity,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103435636&doi=10.5465%2fAMBPP.2019.56&partnerID=40&md5=18f66c56893ce7f1df16315f94ba2e38,[No abstract available],,
Stakeholder activism and corporate environmental performance: The role of social media,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103435514&doi=10.5465%2fAMBPP.2019.243&partnerID=40&md5=795f48474c64e7a092efcc8bb2a50afd,[No abstract available],,
"Maslow, managers, and motives: The hierarchy of needs in American management, 1960-1985",2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103440269&doi=10.5465%2fAMBPP.2019.202&partnerID=40&md5=37b7995c9f3183836d02245f905eef7a,[No abstract available],,
Corporate purpose and firm ownership,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103458000&doi=10.5465%2fAMBPP.2019.191&partnerID=40&md5=e90c1425ca8d933ef63cfe6fd394b383,[No abstract available],,
Role of sovereignty goals in explaining stakeholder orientation in family firms,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103442445&doi=10.5465%2fAMBPP.2019.213&partnerID=40&md5=b2c329d9758261108bc20ae7ab75ef05,"This study shows that pursuit of goals associated with sovereignty (i.e. independent and sustainable power over the firm) is a pivotal antecedent of the link between stakeholder orientation and family involvement. We argue that this is due to organizational legitimacy concerns and family-firm identity fit arising from sovereignty pursuit. © The Author(s), 2019.",,Family firms; Stakeholder orientations; Sustainable power; International law
Navigating a hurdles race: An integrative and dynamic perspective on the causes of the ⇜glass ceiling⇝,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103440667&doi=10.5465%2fAMBPP.2019.214&partnerID=40&md5=58009326fab125cd188e941276fa1494,[No abstract available],,
A longitudinal study of power dispersion and upper management conflict on intragroup conflict,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103443415&doi=10.5465%2fAMBPP.2019.281&partnerID=40&md5=40081690cbfee1084e2f4041b9ab063c,[No abstract available],,
Relocation with or without you: An attachment theory perspective on expatriate withdrawal,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103446123&doi=10.5465%2fAMBPP.2019.12&partnerID=40&md5=efa4c3b8aff5e6431a2861a4d9b4c439,"Drawing from attachment theory, this study develops and empirically tests a model how geographic separation leads to depression of both expatriates and their partners, expatriates' withdrawal from work and repatriation. Moreover, we argue that trust buffers the negative effects of geographic separation. Results largely provide support for our theoretical model. © AOM 2019: Understanding the Inclusive Organization. All rights reserved.",,Theoretical modeling
Rogue one: The Canadian space agency and “Understanding the [NON] inclusive organization”,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103449991&doi=10.5465%2fAMBPP.2019.85&partnerID=40&md5=598954d936ef2b5f2d833df2fae2602f,[No abstract available],,
