Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
32;22899;"Journal of Consumer Research";journal;"00935301, 15375277";5,428;Q1;220;49;165;3498;1277;163;7,41;71,39;52,29;2;4;United Kingdom;Western Europe;"Oxford University Press";"1977-1978, 1984, 1996-2023";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
33;21100926579;"Review of Corporate Finance Studies";journal;"20469136, 20469128";5,418;Q1;24;21;67;1089;665;67;2,24;51,86;29,31;0;9;United States;Northern America;"Oxford University Press";"2012-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
34;29009;"Journal of Public Economics";journal;"00472727";5,144;Q1;174;169;416;8711;3684;414;5,66;51,54;26,87;43;109;Netherlands;Western Europe;"Elsevier B.V.";"1972-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
35;28418;"Brookings Papers on Economic Activity";journal;"00072303, 15334465";5,133;Q1;96;5;50;97;284;47;2,85;19,40;41,67;0;4;United States;Northern America;"Brookings Institution Press";"1990, 1992, 1996-2022";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
36;19700200702;"Annual Review of Financial Economics";journal;"19411367, 19411375";4,854;Q1;44;32;59;2391;319;57;5,39;74,72;19,40;4;20;United States;Northern America;"Annual Reviews Inc.";"2010-2022";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
37;21100255526;"Quantitative Economics";journal;"17597323, 17597331";4,720;Q1;36;39;128;2062;266;127;1,92;52,87;15,84;0;16;United States;Northern America;"Wiley-Blackwell";"2010-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
38;17700155016;"Handbook of Industrial Organization";book series;"1573448X";4,691;Q1;10;0;17;0;42;17;2,47;0,00;0,00;0;0;Netherlands;Western Europe;"Elsevier B.V.";"1989, 2007, 2021";"Economics and Econometrics (Q1); Finance (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
39;28096;"Accounting Review";journal;"00014826, 15587967";4,640;Q1;192;165;270;10817;1573;268;4,67;65,56;35,06;0;38;United States;Northern America;"American Accounting Association";"1996-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
40;24392;"Journal of International Business Studies";journal;"00472506, 14786990";4,600;Q1;229;92;260;7073;3083;217;10,02;76,88;32,62;6;34;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1975-2023";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
41;24393;"Journal of International Economics";journal;"18730353, 00221996";4,583;Q1;159;98;279;5155;1276;275;4,11;52,60;22,59;24;59;Netherlands;Western Europe;"Elsevier B.V.";"1971-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
42;24870;"Journal of Human Resources";journal;"15488004, 0022166X";4,524;Q1;123;56;147;3265;597;147;4,24;58,30;39,42;1;37;United States;Northern America;"University of Wisconsin Press";"1976-1982, 1990, 1992-2023";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
43;23011;"Economic Journal";journal;"14680297, 00130133";4,507;Q1;185;32;319;1859;1358;319;4,52;58,09;31,82;11;20;United States;Northern America;"Wiley-Blackwell";"1973, 1979-1986, 1988-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
44;24406;"Journal of Urban Economics";journal;"10959068, 00941190";4,314;Q1;132;69;163;3330;1135;159;5,84;48,26;21,15;19;43;United States;Northern America;"Academic Press Inc.";"1974-2023";"Economics and Econometrics (Q1); Urban Studies (Q1)";"Economics, Econometrics and Finance; Social Sciences"
45;80370;"Journal of Financial and Quantitative Analysis";journal;"00221090, 17566916";3,980;Q1;147;221;274;12411;1404;274;4,79;56,16;20,86;0;55;United Kingdom;Western Europe;"Cambridge University Press";"1966-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
46;23672;"RAND Journal of Economics";journal;"17562171, 07416261";3,860;Q1;127;23;107;1043;300;107;2,52;45,35;13,64;2;1;United States;Northern America;"Wiley-Blackwell";"1984-1985, 1987, 1989, 1991-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
47;19900191883;"American Economic Journal: Microeconomics";journal;"19457669, 19457685";3,835;Q1;54;60;166;2755;356;166;2,09;45,92;14,52;8;4;United States;Northern America;"American Economic Association";"2009-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
48;14834;"Journal of Development Economics";journal;"03043878";3,737;Q1;171;150;371;8487;2337;371;5,69;56,58;37,27;43;110;Netherlands;Western Europe;"Elsevier B.V.";"1974-2024";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
49;15298;"Structural Equation Modeling";journal;"15328007, 10705511";3,647;Q1;125;99;217;4796;1400;217;5,33;48,44;34,13;0;3;United Kingdom;Western Europe;"Psychology Press Ltd";"1994-2023";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
50;21100217630;"Strategic Entrepreneurship Journal";journal;"19324391, 1932443X";3,628;Q1;69;47;94;4956;859;86;6,38;105,45;29,20;2;21;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
51;26259;"Review of Economic Dynamics";journal;"10966099, 10942025";3,582;Q1;73;102;178;4885;485;176;2,59;47,89;17,21;18;68;United States;Northern America;"Academic Press Inc.";"1998-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
52;29374;"Energy Economics";journal;"01409883, 18736181";3,555;Q1;210;649;1481;42483;21836;1474;14,67;65,46;30,53;21;485;Netherlands;Western Europe;"Elsevier B.V.";"1979-2023";"Economics and Econometrics (Q1); Energy (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Energy"
53;29400;"Journal of World Business";journal;"10909516";3,490;Q1;142;52;190;6142;2101;186;11,07;118,12;37,50;4;12;United States;Northern America;"Elsevier Inc.";"1997-2024";"Business and International Management (Q1); Finance (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
54;6400153126;"Theoretical Economics";journal;"15557561";3,470;Q1;37;50;150;1750;240;150;1,22;35,00;7,53;0;6;United States;Northern America;"Wiley-Blackwell";"2007-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
55;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";3,385;Q1;118;108;336;4683;1026;312;2,76;43,36;23,83;7;6;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2023";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
56;21100932830;"Journal of Innovation and Knowledge";journal;"2444569X, 25307614";3,372;Q1;54;167;177;12969;3438;177;18,92;77,66;38,62;2;110;Netherlands;Western Europe;"Elsevier B.V.";"2016-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
57;21101167218;"Sustainable Technology and Entrepreneurship";journal;"27730328";3,328;Q1;15;21;21;1682;360;21;17,14;80,10;28,81;0;16;Netherlands;Western Europe;"Elsevier B.V.";"2022-2024";"Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
58;11600153422;"Review of Environmental Economics and Policy";journal;"17506824, 17506816";3,311;Q1;67;22;64;1311;486;64;7,69;59,59;35,62;3;14;United States;Northern America;"University of Chicago Press";"2008-2023";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
59;19900192439;"IMF Economic Review";journal;"2041417X, 20414161";3,286;Q1;82;55;71;2534;271;66;3,30;46,07;23,91;14;28;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2010-2023";"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
60;4700152266;"Econometrics Journal";journal;"13684221, 1368423X";3,244;Q1;44;30;101;1088;312;96;3,56;36,27;13,79;5;6;United Kingdom;Western Europe;"Oxford University Press";"2006-2022";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
61;100147317;"Journal of Supply Chain Management";journal;"15232409, 1745493X";3,220;Q1;112;16;59;1713;704;56;12,51;107,06;32,56;0;6;United States;Northern America;"Wiley-Blackwell";"1999-2023";"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
62;28981;"Journal of Economic Theory";journal;"10957235, 00220531";3,218;Q1;114;131;416;5180;656;414;1,42;39,54;13,10;8;16;United States;Northern America;"Academic Press Inc.";"1969-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
63;17496;"Journal of Corporate Finance";journal;"09291199";3,182;Q1;131;142;650;8439;5852;646;7,93;59,43;28,22;4;57;Netherlands;Western Europe;"Elsevier B.V.";"1994-2023";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
64;28996;"Journal of Financial Intermediation";journal;"10960473, 10429573";3,095;Q1;90;33;100;1654;556;99;3,58;50,12;16,00;4;19;United States;Northern America;"Academic Press Inc.";"1990-2023";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
65;29113;"Contemporary Accounting Research";journal;"08239150";3,086;Q1;124;91;267;6779;1364;266;4,16;74,49;31,80;1;24;United States;Northern America;"Wiley-Blackwell";"1984-2023";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
66;19165;"International Journal of Production Economics";journal;"09255273";3,074;Q1;231;298;902;20739;12655;889;12,00;69,59;28,47;0;132;Netherlands;Western Europe;"Elsevier B.V.";"1991-2024";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Engineering"
67;21203;"Long Range Planning";journal;"00246301, 18731872";2,928;Q1;126;55;175;6323;1727;167;8,15;114,96;36,77;1;11;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2023";"Finance (Q1); Geography, Planning and Development (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
68;23352;"Journal of Environmental Economics and Management";journal;"10960449, 00950696";2,813;Q1;151;109;261;6331;1551;259;5,65;58,08;32,62;18;93;United States;Northern America;"Academic Press Inc.";"1974-2023";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
69;26424;"Resources, Conservation and Recycling";journal;"18790658, 09213449";2,770;Q1;196;539;1736;33601;23814;1722;12,58;62,34;35,78;13;454;Netherlands;Western Europe;"Elsevier B.V.";"1988-2023";"Economics and Econometrics (Q1); Waste Management and Disposal (Q1)";"Economics, Econometrics and Finance; Environmental Science"
70;21100861110;"Journal of the Association of Environmental and Resource Economists";journal;"23335963, 23335955";2,747;Q1;38;48;111;2591;432;110;2,96;53,98;24,79;12;43;United States;Northern America;"University of Chicago Press";"2015-2023";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";"Economics, Econometrics and Finance; Environmental Science"
71;26878;"Journal of Population Economics";journal;"14321475, 09331433";2,688;Q1;87;90;135;5331;860;135;6,58;59,23;42,39;30;66;Germany;Western Europe;"Springer New York";"1988-2023";"Demography (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
72;19600161806;"Journal of Family Business Strategy";journal;"18778585";2,664;Q1;68;40;88;4651;952;82;12,06;116,28;46,83;0;9;United Kingdom;Western Europe;"Elsevier Ltd";"2010-2023";"Economics and Econometrics (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
73;24353;"Journal of Economic Surveys";journal;"14676419, 09500804";2,630;Q1;113;92;139;11566;1176;139;7,79;125,72;29,05;22;49;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2023";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
