Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
264;21100886533;"Journal of Information Technology Case and Application Research";journal;"15228053, 23336897";0,485;Q2;20;26;60;1033;140;38;1,30;39,73;26,67;0;5;United States;Northern America;"Taylor and Francis Ltd.";"2005-2023";"Information Systems and Management (Q2); Management Science and Operations Research (Q3)";"Decision Sciences"
265;21100898991;"Modern Stochastics: Theory and Applications";journal;"23516046, 23516054";0,480;Q3;7;20;65;555;59;65;0,76;27,75;9,38;0;0;Lithuania;Eastern Europe;"VTeX";"2018-2023";"Modeling and Simulation (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
266;21100200822;"Pakistan Journal of Statistics and Operation Research";journal;"22205810, 18162711";0,473;Q3;25;40;208;1173;361;208;1,60;29,33;24,66;0;1;Pakistan;Asiatic Region;"College of Statistical and Actuarial Sciences, University of Punjab";"2011-2023";"Modeling and Simulation (Q2); Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
267;21100202150;"Operations Research for Health Care";journal;"22116923";0,469;Q3;37;14;42;616;91;40;1,80;44,00;31,25;0;6;United Kingdom;Western Europe;"Elsevier B.V.";"2014-2023";"Health Professions (miscellaneous) (Q2); Oral Surgery (Q2); Surgery (Q2); Management Science and Operations Research (Q3); Medicine (miscellaneous) (Q3); Otorhinolaryngology (Q3)";"Decision Sciences; Dentistry; Health Professions; Medicine"
268;21100264009;"Journal of Multi-Criteria Decision Analysis";journal;"10579214, 10991360";0,467;Q3;54;13;80;968;200;76;2,34;74,46;24,32;0;5;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2003, 2005-2006, 2008-2023";"Strategy and Management (Q2); Decision Sciences (miscellaneous) (Q3)";"Business, Management and Accounting; Decision Sciences"
269;25195;"Applied Stochastic Models in Business and Industry";journal;"15264025, 15241904";0,452;Q3;47;86;218;2680;325;192;1,59;31,16;31,72;0;8;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1999-2023";"Business, Management and Accounting (miscellaneous) (Q2); Modeling and Simulation (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences; Mathematics"
270;14054;"SORT";journal;"16962281, 20138830";0,452;Q3;25;12;20;804;43;20;0,91;67,00;41,86;0;1;Spain;Western Europe;"Institut d'Estadistica de Catalunya";"2003-2021, 2023";"Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
271;21100901158;"EURO Journal on Decision Processes";journal;"21939446, 21939438";0,450;Q3;19;13;28;759;78;28;3,47;58,38;26,47;0;3;Germany;Western Europe;"Elsevier B.V.";"2013-2023";"Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computational Mathematics (Q3); Decision Sciences (miscellaneous) (Q3); Statistics and Probability (Q3)";"Business, Management and Accounting; Decision Sciences; Mathematics"
272;22202;"Operations Research Letters";journal;"01676377";0,449;Q3;82;123;412;2356;484;410;0,99;19,15;20,50;0;3;Netherlands;Western Europe;"Elsevier B.V.";"1981-2023";"Applied Mathematics (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
273;14794;"Statistics and Probability Letters";journal;"01677152";0,448;Q3;73;160;658;2769;628;658;1,09;17,31;22,45;0;2;Netherlands;Western Europe;"Elsevier B.V.";"1982-2024";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
274;13130;"Distributed and Parallel Databases";journal;"09268782, 15737578";0,442;Q2;46;31;104;1004;189;99;1,66;32,39;20,31;0;7;Netherlands;Western Europe;"Springer Netherlands";"1993-2023";"Information Systems and Management (Q2); Hardware and Architecture (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Decision Sciences"
275;12120;"Journal of Nonparametric Statistics";journal;"10290311, 10485252";0,440;Q3;44;70;108;2269;136;106;1,07;32,41;30,32;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1991-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
276;21100394100;"IET Networks";journal;"20474962, 20474954";0,439;Q3;31;27;113;1003;248;110;1,80;37,15;28,43;0;5;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2014-2023";"Computer Networks and Communications (Q3); Control and Optimization (Q3); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Mathematics"
277;12991;"RAIRO - Operations Research";journal;"12903868, 03990559";0,438;Q3;36;163;634;6230;1417;633;2,19;38,22;35,25;0;26;France;Western Europe;"EDP Sciences";"1977-1978, 1995-2023";"Computer Science Applications (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)";"Computer Science; Decision Sciences; Mathematics"
278;21100806906;"Uncertain Supply Chain Management";journal;"22916822, 22916830";0,436;Q3;33;190;344;9282;1712;343;5,15;48,85;30,27;0;80;Canada;Northern America;"Growing Science";"2013-2023";"Business and International Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences"
279;15810;"Probability in the Engineering and Informational Sciences";journal;"02699648, 14698951";0,434;Q3;41;44;155;1435;182;155;1,02;32,61;25,00;0;2;United Kingdom;Western Europe;"Cambridge University Press";"1987-2023";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Engineering; Mathematics"
280;19700175219;"Iranian Journal of Fuzzy Systems";journal;"17350654";0,433;Q2;37;70;232;2456;454;232;1,93;35,09;26,62;0;4;Iran;Middle East;"University of Sistan and Baluchestan";"2004-2023";"Information Systems and Management (Q2); Mathematics (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science; Decision Sciences; Mathematics"
281;21101020135;"Systems";journal;"20798954";0,431;Q2;33;575;403;34689;1128;394;2,75;60,33;37,70;0;282;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2023";"Information Systems and Management (Q2); Computer Networks and Communications (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
282;14785;"Statistics";journal;"02331888, 10294910";0,427;Q3;39;68;193;2141;174;192;0,84;31,49;31,37;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
283;144935;"Statistical Modelling";journal;"1471082X";0,426;Q3;50;39;90;1353;97;84;1,14;34,69;29,73;0;9;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
284;21101072199;"EAI Endorsed Transactions on Scalable Information Systems";journal;"20329407";0,423;Q2;15;135;151;4864;416;151;2,51;36,03;36,63;0;49;Belgium;Western Europe;"European Alliance for Innovation";"2014-2023";"Information Systems and Management (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Hardware and Architecture (Q3); Information Systems (Q3); Software (Q3)";"Computer Science; Decision Sciences"
285;23241;"International Journal of Game Theory";journal;"14321270, 00207276";0,422;Q3;48;60;124;1749;103;124;0,77;29,15;15,38;0;2;Germany;Western Europe;"Springer Verlag";"1971, 1973-2023";"Mathematics (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
286;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";0,420;Q2;9;18;36;1197;84;35;2,56;66,50;24,14;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2023";"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
287;19900193531;"Advances in Decision Sciences";journal;"20903367, 20903359";0,417;Q2;20;30;75;1565;278;75;4,94;52,17;26,83;0;12;Taiwan;Asiatic Region;"Asia University";"2010-2023";"Information Systems and Management (Q2); Decision Sciences (miscellaneous) (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences"
288;21100195305;"Law, Probability and Risk";journal;"1470840X, 14708396";0,417;Q3;18;5;32;175;32;29;0,69;35,00;55,56;0;1;United Kingdom;Western Europe;"Oxford University Press";"2011-2023";"Law (Q1); Philosophy (Q1); Statistics, Probability and Uncertainty (Q3)";"Arts and Humanities; Decision Sciences; Social Sciences"
289;21100840031;"Critical Military Studies";journal;"23337486, 23337494";0,416;Q3;21;50;89;2961;100;87;1,25;59,22;36,07;1;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2023";"History (Q1); Law (Q1); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Management Science and Operations Research (Q3)";"Arts and Humanities; Decision Sciences; Social Sciences"
290;21100888812;"Journal of Data and Information Science";journal;"2096157X";0,414;Q2;19;25;96;996;163;93;1,96;39,84;31,82;0;5;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2016-2023";"Information Systems and Management (Q2); Library and Information Sciences (Q2); Public Administration (Q2)";"Decision Sciences; Social Sciences"
291;145729;"Statistical Methods and Applications";journal;"16182510, 1613981X";0,414;Q3;34;93;167;3888;193;161;1,27;41,81;40,77;0;24;Germany;Western Europe;"";"1996-1997, 2000-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
292;21101133575;"Journal of International Crisis and Risk Communication Research";journal;"25760025, 25760017";0,412;Q3;11;10;44;446;101;42;2,00;44,60;45,83;0;4;United States;Northern America;"Nicholson School of Communication and Media";"2019-2023";"Communication (Q2); Safety Research (Q2); Decision Sciences (miscellaneous) (Q3)";"Decision Sciences; Social Sciences"
293;21100894767;"INFORMS Transactions on Education";journal;"15320545";0,408;Q3;7;24;50;352;62;47;1,09;14,67;21,05;0;4;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2018-2023";"Education (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
294;21100941199;"Statistics and Public Policy";journal;"2330443X";0,405;Q3;15;14;32;412;55;32;1,61;29,43;45,83;0;1;United States;Northern America;"Taylor and Francis Inc.";"2014-2023";"Applied Mathematics (Q3); Public Administration (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Social Sciences"
295;21100209308;"Theory of Probability and Mathematical Statistics";journal;"00949000, 15477363";0,402;Q3;15;17;89;522;60;82;0,35;30,71;27,78;0;1;United States;Northern America;"American Mathematical Society";"2000, 2004-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
296;21100314709;"Decision Science Letters";journal;"19295804, 19295812";0,399;Q3;29;64;130;2929;309;129;1,97;45,77;31,10;0;30;Canada;Northern America;"Growing Science";"2012-2023";"Decision Sciences (miscellaneous) (Q3)";"Decision Sciences"
297;21100939697;"Synthesis Lectures on Information Concepts, Retrieval, and Services";book series;"1947945X, 19479468";0,398;Q2;6;26;61;1229;18;3;0,29;47,27;0,00;0;7;Switzerland;Western Europe;"Springer International Publishing";"2010, 2012, 2017-2024";"Information Systems and Management (Q2); Library and Information Sciences (Q2); Computer Networks and Communications (Q3); Information Systems (Q3)";"Computer Science; Decision Sciences; Social Sciences"
298;19700188202;"International Journal of Digital Accounting Research";journal;"15778517";0,390;Q3;18;6;21;347;58;21;2,33;57,83;58,33;0;4;United States;Northern America;"Rutgers University";"2010-2023";"Accounting (Q3); Finance (Q3); Information Systems and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
299;145274;"Journal of Statistical Mechanics: Theory and Experiment";journal;"17425468";0,388;Q3;91;194;893;9344;1249;892;1,41;48,16;17,43;0;4;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2004-2023";"Statistical and Nonlinear Physics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Physics and Astronomy"
300;19700181204;"OPSEARCH";journal;"00303887, 09750320";0,386;Q3;29;90;179;4188;394;179;2,13;46,53;22,22;0;24;India;Asiatic Region;"Springer India";"2009-2023";"Management Information Systems (Q2); Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
301;21101046369;"Brazilian Journal of Operations and Production Management";journal;"16798171, 22378960";0,377;Q3;12;33;114;1877;233;112;2,64;56,88;32,10;0;16;Brazil;Latin America;"Associacao Brasileira de Engenharia de Producao";"2019-2023";"Industrial and Manufacturing Engineering (Q2); Computer Science Applications (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
302;21100862481;"ACRN Journal of Finance and Risk Perspectives";journal;"23057394";0,376;Q3;7;4;42;231;90;42;0,50;57,75;55,56;0;2;United Kingdom;Western Europe;"ACRN Oxford Ltd.";"2017-2023";"Accounting (Q3); Business and International Management (Q3); Finance (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
303;21101068186;"International Journal of Crowd Science";journal;"23987294";0,375;Q3;15;25;66;609;139;65;2,18;24,36;38,57;0;7;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2023";"Business, Management and Accounting (miscellaneous) (Q2); Computer Science (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
304;21100464776;"Statistics, Optimization and Information Computing";journal;"23105070, 2311004X";0,375;Q3;19;74;200;2082;276;200;1,38;28,14;23,39;0;14;United States;Northern America;"International Academic Press";"2013-2023";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Information Systems (Q3); Signal Processing (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Mathematics"
305;21100775412;"Foresight and STI Governance";journal;"23129972, 25002597";0,373;Q3;25;31;88;1894;159;85;1,71;61,10;32,05;0;19;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2015-2023";"History and Philosophy of Science (Q1); Development (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Management of Technology and Innovation (Q3); Statistics, Probability and Uncertainty (Q3); Strategy and Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
306;21100936589;"Journal of ICT Standardization";journal;"2245800X, 22460853";0,368;Q3;7;20;63;475;92;56;1,56;23,75;38,98;0;2;Denmark;Western Europe;"River Publishers";"2014-2023";"Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
307;19400158510;"Logistics Research";journal;"18650368, 1865035X";0,368;Q3;28;12;26;1076;49;26;2,13;89,67;25,81;0;7;Germany;Western Europe;"Bundesvereinigung Logistik (BVL)";"2009-2010, 2012-2023";"Management Information Systems (Q2); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
308;14500154708;"Statistical Journal of the IAOS";journal;"18747655";0,366;Q3;22;55;391;1451;239;352;0,45;26,38;34,29;0;18;Netherlands;Western Europe;"IOS Press BV";"2007-2009, 2011-2023";"Economics and Econometrics (Q3); Management Information Systems (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
309;21100901206;"IAES International Journal of Artificial Intelligence";journal;"20894872, 22528938";0,365;Q3;22;206;379;7015;1028;379;2,51;34,05;35,41;0;48;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science (IAES)";"2018-2023";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems and Management (Q3)";"Computer Science; Decision Sciences; Engineering"
310;19700187506;"International Journal of Shipping and Transport Logistics";journal;"17566517, 17566525";0,361;Q3;28;36;98;1728;143;95;1,52;48,00;26,26;0;12;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2010-2023";"Business and International Management (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
311;300147003;"Journal of Futures Studies";journal;"10276084";0,358;Q3;24;35;107;1376;101;107;0,88;39,31;52,11;0;17;Taiwan;Asiatic Region;"Tamkang University";"2005-2023";"Development (Q2); History and Philosophy of Science (Q2); Decision Sciences (miscellaneous) (Q3)";"Arts and Humanities; Decision Sciences; Social Sciences"
312;19700173246;"Academia Revista Latinoamericana de Administracion";journal;"10128255, 20565127";0,356;Q3;22;30;88;2234;148;87;1,83;74,47;41,28;0;17;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2023";"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3); Education (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3); Public Administration (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
313;21100838017;"Sankhya B";journal;"09768394, 09768386";0,356;Q3;13;32;100;1182;90;99;0,88;36,94;27,69;0;4;India;Asiatic Region;"Springer India";"2010-2023";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
314;24017;"ZWF Zeitschrift für Wirtschaftlichen Fabrikbetrieb";journal;"09470085, 25110896";0,350;Q3;18;178;639;2508;325;597;0,51;14,09;16,19;0;79;Germany;Western Europe;"Walter de Gruyter GmbH";"1995-2023";"Engineering (miscellaneous) (Q2); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
315;23110;"Asia-Pacific Journal of Operational Research";journal;"02175959, 17937019";0,348;Q3;37;103;191;3317;281;187;1,34;32,20;39,30;0;9;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1991, 1996-2023";"Management Science and Operations Research (Q3)";"Decision Sciences"
316;14363;"INFOR";journal;"03155986, 19160615";0,348;Q3;37;23;63;1081;72;60;0,94;47,00;23,81;0;7;Canada;Northern America;"Taylor and Francis Ltd.";"1971-1989, 1996-2023";"Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Signal Processing (Q3)";"Computer Science; Decision Sciences"
317;21101023959;"International Journal of Production Management and Engineering";journal;"23404876, 23405317";0,347;Q3;6;16;43;725;75;43;1,90;45,31;32,61;0;10;Spain;Western Europe;"Universidad Politecnica de Valencia";"2019-2023";"Industrial and Manufacturing Engineering (Q2); Business and International Management (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
318;28426;"Australian and New Zealand Journal of Statistics";journal;"1467842X, 13691473";0,344;Q3;46;19;83;669;94;83;1,04;35,21;34,55;0;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
319;144815;"Computational Management Science";journal;"1619697X, 16196988";0,339;Q3;40;48;78;1967;115;75;1,50;40,98;22,50;0;13;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2005-2023";"Business, Management and Accounting (miscellaneous) (Q3); Information Systems (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
320;17500155101;"Lecture Notes in Business Information Processing";book series;"18651348";0,339;Q3;63;664;1884;16465;2195;1618;1,16;24,80;33,70;0;153;Germany;Western Europe;"Springer Verlag";"2008-2023";"Business and International Management (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Modeling and Simulation (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Mathematics"
321;21100913325;"Logforum";journal;"1734459X, 18952038";0,339;Q3;14;44;124;2121;253;124;1,60;48,20;37,72;0;27;Poland;Eastern Europe;"Poznan School of Logistics";"2019-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences"
322;23492;"Yugoslav Journal of Operations Research";journal;"03540243, 23346043";0,339;Q3;24;38;96;1400;150;96;1,48;36,84;35,29;0;5;Serbia;Eastern Europe;"Faculty of Organizational Sciences, Belgrade";"1994-1997, 1999-2023";"Management Science and Operations Research (Q3)";"Decision Sciences"
323;4000149501;"International Journal of Product Lifecycle Management";journal;"17435110, 17435129";0,333;Q3;24;8;42;452;56;42;1,00;56,50;30,00;0;4;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2023";"Business and International Management (Q3); Management Science and Operations Research (Q3); Safety, Risk, Reliability and Quality (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
324;21100301410;"International Journal for Quality Research";journal;"18007473, 18006450";0,332;Q3;27;84;240;3015;444;240;1,85;35,89;51,57;0;36;Serbia;Eastern Europe;"University of Montenegro";"2012-2023";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Safety, Risk, Reliability and Quality (Q3)";"Decision Sciences; Engineering"
325;21100892782;"Journal of Payments Strategy and Systems";journal;"17501806, 17501814";0,325;Q3;7;25;119;854;89;106;0,62;34,16;40,00;0;7;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2023";"Accounting (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
326;21100367884;"Statistics and Risk Modeling";journal;"21931402, 21967040";0,324;Q3;21;4;14;113;19;14;1,70;28,25;20,00;0;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1982-2002, 2011-2023";"Modeling and Simulation (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
327;17400154833;"Journal of Transportation Security";journal;"19387741, 1938775X";0,323;Q3;18;12;46;486;68;45;1,14;40,50;37,50;0;2;United States;Northern America;"Springer New York";"2008-2023";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Management Science and Operations Research (Q3); Safety Research (Q3); Transportation (Q3)";"Decision Sciences; Social Sciences"
328;21100869515;"International Journal of the Analytic Hierarchy Process";journal;"19366744";0,321;Q3;9;12;82;490;105;74;1,15;40,83;20,00;0;4;United States;Northern America;"Creative Decisions Foundation";"2018-2023";"Decision Sciences (miscellaneous) (Q3)";"Decision Sciences"
329;21100838045;"Sankhya A";journal;"0976836X, 09768378";0,321;Q3;11;74;87;1833;68;86;0,82;24,77;25,93;0;4;India;Asiatic Region;"Springer India";"2010-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
330;21100863713;"International Journal of Knowledge and Systems Science";journal;"19478216, 19478208";0,317;Q3;11;13;53;613;70;53;0,91;47,15;35,00;0;3;United States;Northern America;"IGI Global Publishing";"2017-2023";"Artificial Intelligence (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
331;21100843362;"Stochastics and Quality Control";journal;"23672390, 23672404";0,317;Q3;15;9;35;228;26;34;0,54;25,33;21,43;0;1;Germany;Western Europe;"Walter de Gruyter GmbH";"2001-2013, 2017-2023";"Applied Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Safety, Risk, Reliability and Quality (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Engineering; Mathematics"
332;21100385807;"International Journal of Emergency Services";journal;"20470908, 20470894";0,315;Q3;16;37;82;1459;140;79;2,00;39,43;51,92;0;9;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2023";"Management Science and Operations Research (Q3); Safety Research (Q3)";"Decision Sciences; Social Sciences"
333;27401;"Theory of Probability and its Applications";journal;"0040585X, 10957219";0,315;Q3;33;43;133;969;64;132;0,41;22,53;18,33;0;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1996-2023";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
334;19700170105;"Problems and Perspectives in Management";journal;"17277051, 18105467";0,313;Q3;30;231;528;11178;1059;528;1,94;48,39;46,85;0;112;Ukraine;Eastern Europe;"LLC CPC Business Perspectives";"2003-2023";"Law (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Information Systems and Management (Q3); Public Administration (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
335;25057;"Mathematical Social Sciences";journal;"01654896";0,309;Q3;42;55;190;1764;140;189;0,64;32,07;12,96;0;9;Netherlands;Western Europe;"Elsevier B.V.";"1980-2023";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Psychology (miscellaneous) (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Psychology; Social Sciences"
336;21100896488;"International Journal of Business Intelligence Research";journal;"19473605, 19473591";0,308;Q3;8;3;16;129;38;16;2,45;43,00;0,00;0;1;United States;Northern America;"IGI Global Publishing";"2018-2023";"Information Systems and Management (Q3); Management Information Systems (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences"
337;21100457058;"Management and Production Engineering Review";journal;"20821344, 20808208";0,307;Q3;24;48;139;1637;231;139;1,21;34,10;39,32;0;22;Poland;Eastern Europe;"Polish Academy of Sciences, Production Engineering Committee";"2012-2013, 2015-2023";"Business and International Management (Q3); Industrial and Manufacturing Engineering (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
338;21100826286;"Fuzzy Information and Engineering";journal;"16168658, 16168666";0,304;Q3;25;23;88;682;152;88;1,72;29,65;24,39;0;0;United Kingdom;Western Europe;"Tsinghua University Press";"2011, 2014-2023";"Applied Mathematics (Q3); Control and Systems Engineering (Q3); Industrial and Manufacturing Engineering (Q3); Information Systems (Q3); Logic (Q3); Management Science and Operations Research (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
